,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
0,1,YELLA SRINIVASA RAO,Indian National Congress,1276,24,1300,0.66
1,2,KOLLAM SRINU,Bahujan Samaj Party,306,2,308,0.16
2,3,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,104705,1015,105720,53.73
3,4,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,84138,732,84870,43.14
4,5,KOVVURI SIVANANDA REDDY,Akhil Bharatiya Jan Sangh,289,1,290,0.15
5,6,GANGADHAR LINGAM,Jaibhim Rao Bharat Party,269,2,271,0.14
6,7,SHEK SARDHAR HUSSEN,Liberation Congress Party,284,1,285,0.14
7,8,CHELLE SRINU,Independent,275,3,278,0.14
8,9,PULAGAM SURREDDY,Independent,327,0,327,0.17
9,10,NOTA,None of the Above,3093,12,3105,1.58
